Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=0.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step    50/10000 | phase_err_obs=0.027738 | phase_err_truth=27.737936 | obs_ratio=1.000
Step   100/10000 | phase_err_obs=0.027689 | phase_err_truth=27.689440 | obs_ratio=1.000
Step   150/10000 | phase_err_obs=0.027614 | phase_err_truth=27.613841 | obs_ratio=1.000
Step   200/10000 | phase_err_obs=0.027342 | phase_err_truth=27.341865 | obs_ratio=1.000
Step   250/10000 | phase_err_obs=0.025898 | phase_err_truth=25.898460 | obs_ratio=1.000
Step   300/10000 | phase_err_obs=0.021388 | phase_err_truth=21.388322 | obs_ratio=1.000
Step   350/10000 | phase_err_obs=0.018857 | phase_err_truth=18.857063 | obs_ratio=1.000
Step   400/10000 | phase_err_obs=0.021385 | phase_err_truth=21.385128 | obs_ratio=1.000
Step   450/10000 | phase_err_obs=0.021754 | phase_err_truth=21.753801 | obs_ratio=1.000
Step   500/10000 | phase_err_obs=0.019640 | phase_err_truth=19.639821 | obs_ratio=1.000
Step   550/10000 | phase_err_obs=0.020151 | phase_err_truth=20.150687 | obs_ratio=1.000
Step   600/10000 | phase_err_obs=0.022561 | phase_err_truth=22.561404 | obs_ratio=1.000
Step   650/10000 | phase_err_obs=0.021584 | phase_err_truth=21.583703 | obs_ratio=1.000
Step   700/10000 | phase_err_obs=0.018257 | phase_err_truth=18.256958 | obs_ratio=1.000
Step   750/10000 | phase_err_obs=0.019681 | phase_err_truth=19.680747 | obs_ratio=1.000
Step   800/10000 | phase_err_obs=0.022861 | phase_err_truth=22.861345 | obs_ratio=1.000
Step   850/10000 | phase_err_obs=0.023343 | phase_err_truth=23.342614 | obs_ratio=1.000
Step   900/10000 | phase_err_obs=0.020403 | phase_err_truth=20.402752 | obs_ratio=1.000
Step   950/10000 | phase_err_obs=0.018545 | phase_err_truth=18.544987 | obs_ratio=1.000
Step  1000/10000 | phase_err_obs=0.021380 | phase_err_truth=21.380401 | obs_ratio=1.000
Step  1050/10000 | phase_err_obs=0.022078 | phase_err_truth=22.077912 | obs_ratio=1.000
Step  1100/10000 | phase_err_obs=0.020870 | phase_err_truth=20.870258 | obs_ratio=1.000
Step  1150/10000 | phase_err_obs=0.019757 | phase_err_truth=19.757078 | obs_ratio=1.000
Step  1200/10000 | phase_err_obs=0.021717 | phase_err_truth=21.717014 | obs_ratio=1.000
Step  1250/10000 | phase_err_obs=0.021170 | phase_err_truth=21.169899 | obs_ratio=1.000
Step  1300/10000 | phase_err_obs=0.019959 | phase_err_truth=19.959337 | obs_ratio=1.000
Step  1350/10000 | phase_err_obs=0.020100 | phase_err_truth=20.100005 | obs_ratio=1.000
Step  1400/10000 | phase_err_obs=0.022060 | phase_err_truth=22.060189 | obs_ratio=1.000
Step  1450/10000 | phase_err_obs=0.021344 | phase_err_truth=21.343705 | obs_ratio=1.000
Step  1500/10000 | phase_err_obs=0.019353 | phase_err_truth=19.353355 | obs_ratio=1.000
Step  1550/10000 | phase_err_obs=0.019964 | phase_err_truth=19.963734 | obs_ratio=1.000
Step  1600/10000 | phase_err_obs=0.022177 | phase_err_truth=22.177006 | obs_ratio=1.000
Step  1650/10000 | phase_err_obs=0.021454 | phase_err_truth=21.453962 | obs_ratio=1.000
Step  1700/10000 | phase_err_obs=0.019516 | phase_err_truth=19.515526 | obs_ratio=1.000
Step  1750/10000 | phase_err_obs=0.019409 | phase_err_truth=19.408663 | obs_ratio=1.000
Step  1800/10000 | phase_err_obs=0.022178 | phase_err_truth=22.177857 | obs_ratio=1.000
Step  1850/10000 | phase_err_obs=0.021580 | phase_err_truth=21.580132 | obs_ratio=1.000
Step  1900/10000 | phase_err_obs=0.019507 | phase_err_truth=19.506671 | obs_ratio=1.000
Step  1950/10000 | phase_err_obs=0.019312 | phase_err_truth=19.312036 | obs_ratio=1.000
Step  2000/10000 | phase_err_obs=0.022037 | phase_err_truth=22.036974 | obs_ratio=1.000
Step  2050/10000 | phase_err_obs=0.022005 | phase_err_truth=22.004929 | obs_ratio=1.000
Step  2100/10000 | phase_err_obs=0.019488 | phase_err_truth=19.488290 | obs_ratio=1.000
Step  2150/10000 | phase_err_obs=0.018969 | phase_err_truth=18.968614 | obs_ratio=1.000
Step  2200/10000 | phase_err_obs=0.022077 | phase_err_truth=22.077157 | obs_ratio=1.000
Step  2250/10000 | phase_err_obs=0.022402 | phase_err_truth=22.402363 | obs_ratio=1.000
Step  2300/10000 | phase_err_obs=0.020778 | phase_err_truth=20.777589 | obs_ratio=1.000
Step  2350/10000 | phase_err_obs=0.018728 | phase_err_truth=18.727724 | obs_ratio=1.000
Step  2400/10000 | phase_err_obs=0.020662 | phase_err_truth=20.661706 | obs_ratio=1.000
Step  2450/10000 | phase_err_obs=0.021432 | phase_err_truth=21.432309 | obs_ratio=1.000
Step  2500/10000 | phase_err_obs=0.020575 | phase_err_truth=20.574730 | obs_ratio=1.000
Step  2550/10000 | phase_err_obs=0.019387 | phase_err_truth=19.387230 | obs_ratio=1.000
Step  2600/10000 | phase_err_obs=0.021112 | phase_err_truth=21.111672 | obs_ratio=1.000
